GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	D6VTK4	STE2	part_of	GO:0038038	G protein-coupled receptor homodimeric complex	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001997318|PomBase:SPAC11H11.04	559292	GO_Central		C
UniProtKB	O13297	CET1	part_of	GO:0031533	mRNA capping enzyme complex	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001999388|SGD:S000006149	559292	GO_Central		C
UniProtKB	O13297	CET1	part_of	GO:0031533	mRNA capping enzyme complex	ECO:0000353	IPI	PMID:20159466		559292	ComplexPortal		C
UniProtKB	O13297	CET1	part_of	GO:0031533	mRNA capping enzyme complex	ECO:0000316	IGI	PMID:9710603	SGD:S000003098	559292	SGD		C
UniProtKB	O13297	CET1	part_of	GO:0031533	mRNA capping enzyme complex	ECO:0000353	IPI	PMID:9710603	SGD:S000003098	559292	SGD		C
UniProtKB	O13516	RPS9A	part_of	GO:0022627	cytosolic small ribosomal subunit	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1924096|PANTHER:PTN000216553|PomBase:SPBC29A3.12|RGD:619889|SGD:S000000393|SGD:S000006002|UniProtKB:P46781	559292	GO_Central		C
UniProtKB	O13516	RPS9A	part_of	GO:0022627	cytosolic small ribosomal subunit	ECO:0000314	IDA	PMID:6814480		559292	SGD		C
UniProtKB	O13516	RPS9A	part_of	GO:0030686	90S preribosome	ECO:0007005	HDA	PMID:12150911		559292	SGD		C
UniProtKB	O13516	RPS9A	part_of	GO:0032040	small-subunit processome	ECO:0000314	IDA	PMID:15590835		559292	SGD		C
UniProtKB	O13539	THP2	part_of	GO:0000346	transcription export complex	ECO:0000353	IPI	PMID:11979277		559292	ComplexPortal		C
UniProtKB	O13539	THP2	part_of	GO:0000347	THO complex	ECO:0000353	IPI	PMID:22314234		559292	ComplexPortal		C
UniProtKB	O13539	THP2	part_of	GO:0000445	THO complex part of transcription export complex	ECO:0000315	IMP	PMID:11979277		559292	SGD		C
UniProtKB	O13539	THP2	part_of	GO:0000446	nucleoplasmic THO complex	ECO:0000315	IMP	PMID:11060033		559292	SGD		C
UniProtKB	O13563	RPN13	part_of	GO:0000502	proteasome complex	ECO:0000353	IPI	PMID:24706844		559292	ComplexPortal		C
UniProtKB	O13563	RPN13	part_of	GO:0008541	proteasome regulatory particle, lid subcomplex	ECO:0000314	IDA	PMID:11029046		559292	SGD		C
UniProtKB	O14455	RPL36B	part_of	GO:0022625	cytosolic large ribosomal subunit	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000012121|PomBase:SPBC405.07|RGD:62085|SGD:S000004807|SGD:S000006438|UniProtKB:Q8I713|UniProtKB:Q9Y3U8	559292	GO_Central		C
UniProtKB	O14455	RPL36B	part_of	GO:0022625	cytosolic large ribosomal subunit	ECO:0000314	IDA	PMID:18782943		559292	SGD		C
UniProtKB	O14464	RTC6	part_of	GO:0005762	mitochondrial large ribosomal subunit	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000428162|UniProtKB:Q9P0J6	559292	GO_Central		C
UniProtKB	O14464	RTC6	part_of	GO:0005762	mitochondrial large ribosomal subunit	ECO:0000247	ISA	PMID:12392552	protein_id:ACB04361.1	559292	SGD		C
UniProtKB	O14464	RTC6	part_of	GO:0005762	mitochondrial large ribosomal subunit	ECO:0005547	NAS	PMID:28154081		559292	ComplexPortal		C
UniProtKB	O74700	TIM9	part_of	GO:0042719	mitochondrial intermembrane space chaperone complex	ECO:0000353	IPI	PMID:19037098		559292	ComplexPortal		C
UniProtKB	O74700	TIM9	part_of	GO:0042719	mitochondrial intermembrane space chaperone complex	ECO:0000314	IDA	PMID:9822593		559292	SGD		C
UniProtKB	O74700	TIM9	part_of	GO:0042719	mitochondrial intermembrane space chaperone complex	ECO:0000314	IDA	PMID:9889188		559292	SGD		C
UniProtKB	O74700	TIM9	part_of	GO:0042719	mitochondrial intermembrane space chaperone complex	ECO:0000353	IPI	PMID:9889188		559292	ComplexPortal		C
UniProtKB	O74700	TIM9	part_of	GO:0042721	TIM22 mitochondrial import inner membrane insertion complex	ECO:0000353	IPI	PMID:10648604		559292	ComplexPortal		C
UniProtKB	O74700	TIM9	part_of	GO:0042721	TIM22 mitochondrial import inner membrane insertion complex	ECO:0000314	IDA	PMID:9495346		559292	SGD		C
UniProtKB	O75012	MRP10	part_of	GO:0005763	mitochondrial small ribosomal subunit	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001998618|SGD:S000006430	559292	GO_Central		C
UniProtKB	O75012	MRP10	part_of	GO:0005763	mitochondrial small ribosomal subunit	ECO:0005547	NAS	PMID:25609543		559292	ComplexPortal		C
UniProtKB	O75012	MRP10	part_of	GO:0005763	mitochondrial small ribosomal subunit	ECO:0000314	IDA	PMID:9065385		559292	SGD		C
UniProtKB	O75012	MRP10	part_of	GO:0005763	mitochondrial small ribosomal subunit	ECO:0000314	IDA	PMID:9151978		559292	SGD		C
UniProtKB	O94742	SEM1	part_of	GO:0000502	proteasome complex	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000423400|PomBase:SPAC3G6.02|SGD:S000007235|UniProtKB:Q6ZVN7	559292	GO_Central		C
UniProtKB	O94742	SEM1	part_of	GO:0000502	proteasome complex	ECO:0000353	IPI	PMID:24706844		559292	ComplexPortal		C
UniProtKB	O94742	SEM1	part_of	GO:0008541	proteasome regulatory particle, lid subcomplex	ECO:0000314	IDA	PMID:15117943		559292	SGD		C
UniProtKB	O94742	SEM1	part_of	GO:0008541	proteasome regulatory particle, lid subcomplex	ECO:0000314	IDA	PMID:15572408		559292	SGD		C
UniProtKB	O94742	SEM1	part_of	GO:0070390	transcription export complex 2	ECO:0005547	NAS	PMID:14718168		559292	ComplexPortal		C
UniProtKB	O94742	SEM1	part_of	GO:0070390	transcription export complex 2	ECO:0000314	IDA	PMID:19289793		559292	SGD		C
UniProtKB	P00127	QCR6	part_of	GO:0045275	respiratory chain complex III	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1913826|PANTHER:PTN000393767|RGD:1305987|SGD:S000001929	559292	GO_Central		C
UniProtKB	P00127	QCR6	part_of	GO:0045275	respiratory chain complex III	ECO:0000314	IDA	PMID:10873857		559292	SGD		C
UniProtKB	P00128	QCR7	part_of	GO:0045275	respiratory chain complex III	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1914780|PANTHER:PTN000246311|RGD:1311971|SGD:S000002937|UniProtKB:Q871K1	559292	GO_Central		C
UniProtKB	P00128	QCR7	part_of	GO:0045275	respiratory chain complex III	ECO:0000314	IDA	PMID:10873857		559292	SGD		C
UniProtKB	P00163	COB	part_of	GO:0045275	respiratory chain complex III	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:102501|PANTHER:PTN000444161|SGD:S000007270|UniProtKB:P00157|UniProtKB:P18946	559292	GO_Central		C
UniProtKB	P00163	COB	part_of	GO:0045275	respiratory chain complex III	ECO:0000314	IDA	PMID:10873857		559292	SGD		C
UniProtKB	P00163	COB	part_of	GO:0045275	respiratory chain complex III	ECO:0000314	IDA	PMID:391561		559292	SGD		C
UniProtKB	P00163	COB	part_of	GO:0045275	respiratory chain complex III	ECO:0000314	IDA	PMID:8031140		559292	UniProt		C
UniProtKB	P00401	COX1	part_of	GO:0045277	respiratory chain complex IV	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0013674|MGI:MGI:102504|PANTHER:PTN000046096|PomBase:SPMIT.01|SGD:S000007260|UniProtKB:P00395|UniProtKB:P00396	559292	GO_Central		C
UniProtKB	P00401	COX1	part_of	GO:0045277	respiratory chain complex IV	ECO:0000314	IDA	PMID:1331058		559292	SGD		C
UniProtKB	P00410	COX2	part_of	GO:0045277	respiratory chain complex IV	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0013675|MGI:MGI:102503|PANTHER:PTN000527130|PomBase:SPMIT.11|SGD:S000007281|UniProtKB:P00403|UniProtKB:P68530	559292	GO_Central		C
UniProtKB	P00410	COX2	part_of	GO:0045277	respiratory chain complex IV	ECO:0000314	IDA	PMID:1331058		559292	SGD		C
